весь: всем
вообще: вообще
дать: дал
должный: должна
заголовок: заголовок
заметить: заметили
неменее: неменее
ненавидеть: ненавидит
неразослать: неразосланное
новенький: новенькое
обладатель: обладателем
остаться: осталось
письмо: письмо
планироваться: планировалось
пойти: пойду
почта: почте
прикрутить: прикрутили
работать: работать
разослать: разослать
разумеется: разумеется
сделать: сделать
сказать: сказать
содержание: содержание
спамер: спамеров
спать: спать
старый: старый
стать: стали
такой: такое
хотеть: хотел
хрыч: хрыч
